epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.82029,1.67619,3.48678,1.77648,0.00805,1,0.3449,0.16367,1.64118,3.03784,2.04177,6.668e-05,6.668e-05,6.668e-05
2,10.812,1.77703,3.84574,1.98447,0.00779,1,0.77023,0.42268,1.25876,2.99586,1.51074,0.000149287,0.000149287,0.000149287
3,14.0359,1.35832,2.60197,1.48886,0.69751,0.17761,0.68435,0.38883,1.05564,2.78147,1.37974,0.00023107,0.00023107,0.00023107
4,16.7227,1.57481,2.58417,1.74059,0.00816,1,0.7872,0.47985,1.6141,2.8292,1.83394,0.000312027,0.000312027,0.000312027
5,19.2411,1.37761,2.13484,1.51692,0.02672,1,0.83159,0.50052,1.46284,2.8053,1.697,0.000392158,0.000392158,0.000392158
6,21.4549,1.23019,1.89462,1.39625,0.96238,0.39375,0.86357,0.54179,0.92579,2.63164,1.27858,0.000471465,0.000471465,0.000471465
7,23.3257,1.25042,2.04809,1.31199,1,0.38892,0.8782,0.5505,0.96036,2.38212,1.27193,0.000549947,0.000549947,0.000549947
8,25.1427,1.2735,1.9532,1.5019,0.96467,0.42019,0.83718,0.55032,1.18016,2.42277,1.4838,0.000627603,0.000627603,0.000627603
9,26.9151,1.33239,1.84171,1.4534,0.86406,0.33846,0.62621,0.35576,1.80027,2.54893,2.15129,0.000704434,0.000704434,0.000704434
10,28.5275,1.07795,1.63896,1.34011,0.87942,0.29231,0.57401,0.3423,1.41114,2.56042,1.77236,0.00078044,0.00078044,0.00078044
11,30.2356,1.55035,1.82389,1.67924,0.83291,0.2,0.52763,0.30514,1.33528,2.66816,1.83504,0.000855621,0.000855621,0.000855621
12,32.0318,0.98298,3.11581,1.12233,0.7559,0.19079,0.52336,0.29938,1.50996,2.67839,1.87275,0.000929977,0.000929977,0.000929977
13,33.7078,1.16581,1.64093,1.32557,0.79044,0.52228,0.70938,0.42857,1.40599,2.18713,1.92072,0.00100351,0.00100351,0.00100351
14,35.3943,1.40312,1.83258,1.50467,0.85757,0.83371,0.88565,0.63135,1.27246,1.51232,1.79645,0.00107621,0.00107621,0.00107621
15,37.3226,1.2364,1.61068,1.44099,0.88154,0.687,0.84214,0.50212,1.49317,1.81566,2.09567,0.00114809,0.00114809,0.00114809
16,39.066,1.24103,1.8632,1.459,0.63418,0.53846,0.56339,0.28661,2.08939,2.206,2.48836,0.00121915,0.00121915,0.00121915
17,40.6702,1.41449,1.8109,1.58535,0.59044,0.43077,0.50557,0.2274,2.40983,2.66641,3.19027,0.00128938,0.00128938,0.00128938
18,42.5605,1.13445,1.65508,1.37571,0.56243,0.52308,0.4391,0.19713,2.32586,2.80362,3.24861,0.00135878,0.00135878,0.00135878
19,44.285,1.34006,1.70328,1.4606,0.43257,0.35385,0.35785,0.15925,2.16543,2.68548,2.67182,0.00142736,0.00142736,0.00142736
20,46.2129,1.22283,1.59795,1.38312,0.42964,0.38462,0.36381,0.13591,1.82939,2.48298,2.25979,0.00149512,0.00149512,0.00149512
21,47.8574,1.1582,1.52995,1.34844,0.48875,0.49231,0.44786,0.20513,1.68482,2.41881,2.06267,0.00150197,0.00150197,0.00150197
